	chr	start	end	count_unique	count_total	non_unique	result	oddsratio	pvalue	qValue
1:1220000:1230000	1	1220000	1230000	13	276	263	(6.1882047292582545, 4.6044658573897417e-07)	6.1882047292582545	4.6044658573897417e-07	6.38289997507375e-05
1:1570000:1580000	1	1570000	1580000	10	127	117	(10.700183062425516, 8.829745670047531e-08)	10.700183062425516	8.829745670047531e-08	1.2597533493923287e-05
1:1630000:1640000	1	1630000	1640000	9	110	101	(11.15573541062779, 2.7947169261454707e-07)	11.15573541062779	2.7947169261454707e-07	3.9158091066981626e-05
1:1650000:1660000	1	1650000	1660000	4	26	22	(22.76220760552337, 5.132208176360175e-05)	22.76220760552337	5.132208176360175e-05	0.006192230926860246
1:12850000:12860000	1	12850000	12860000	44	96	52	(105.9318123180126, 1.2137277638059849e-65)	105.9318123180126	1.2137277638059849e-65	8.324043112755011e-63
1:12880000:12890000	1	12880000	12890000	6	38	32	(23.473526593195974, 5.509617207723102e-07)	23.473526593195974	5.509617207723102e-07	7.583871686067306e-05
1:12900000:12910000	1	12900000	12910000	16	48	32	(62.596070915189266, 4.345587796402452e-22)	62.596070915189266	4.345587796402452e-22	9.333940556976079e-20
1:12910000:12920000	1	12910000	12920000	22	57	35	(78.69220343623793, 1.639053422833598e-31)	78.69220343623793	1.639053422833598e-31	4.6096313960727346e-29
1:12920000:12930000	1	12920000	12930000	32	71	39	(102.72175739928495, 7.204496411917677e-48)	102.72175739928495	7.204496411917677e-48	3.06128449711615e-45
1:12930000:12940000	1	12930000	12940000	11	37	26	(52.9659061590063, 5.50767163357592e-15)	52.9659061590063	5.50767163357592e-15	1.0451742694162614e-12
1:12950000:12960000	1	12950000	12960000	32	42	10	(400.6148538572113, 8.373012685097214e-59)	400.6148538572113	8.373012685097214e-59	4.675968741226004e-56
1:12980000:12990000	1	12980000	12990000	11	15	4	(344.278390033541, 1.0323400652827499e-20)	344.278390033541	1.0323400652827499e-20	2.1240125174754346e-18
